Country Name,Country Code,2021 [YR2021] - GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],2021 [YR2021] - GDP per capita (current US$) [NY.GDP.PCAP.CD]
Malta,MLT,9.61624093884438,33486.671983855
Marshall Islands,MHL,4.39230910482011,6172.14506539834
Mauritania,MRT,-0.137867842228914,2166.04679858214
Mauritius,MUS,3.67739976308155,9106.23720230699
Mexico,MEX,4.1363722123716,10045.6805004963
"Micronesia, Fed. Sts.",FSM,-4.06533058093541,3571.33676887856
Moldova,MDA,14.8129860841662,5230.66173289497
Monaco,MCO,22.3355113151992,234315.460503547
Mongolia,MNG,0.0141488605379863,4566.14015433014
Montenegro,MNE,12.8147624051294,9465.70399879557
Morocco,MAR,6.79037738085751,3795.38012695313
Mozambique,MOZ,-0.504357258920123,491.839112773674
Myanmar,MMR,-18.4849593721899,1209.92694225482
Namibia,NAM,0.990403649407796,4865.55776470864
Nauru,NRU,-0.0901206937894585,10648.1413901852
Nepal,NPL,1.86468062641489,1208.21853383767
Netherlands,NLD,4.31570449450686,57767.8788108173
New Caledonia,NCL,..,37159.5467662165
New Zealand,NZL,3.0580280155777,48781.0266328884
Nicaragua,NIC,8.81985648527825,2045.53540189014
Niger,NER,-2.30289627206129,590.629454795899
Nigeria,NGA,1.18282822285458,2065.74906750923
North Macedonia,MKD,4.33877056688965,6694.64112581709
Northern Mariana Islands,MNP,..,..
Norway,NOR,3.3268923407341,89154.2760934922
Oman,OMN,3.61516461650578,19509.4664633867
Pakistan,PAK,4.55184847596952,1505.01019279429
Palau,PLW,-13.5833703210534,12083.8881491345
Panama,PAN,13.8284356389775,14617.6044816372
Papua New Guinea,PNG,-1.71414804676887,2672.94579035518
Paraguay,PRY,2.7808445868079,5891.49996504641
Peru,PER,11.9687084471054,6621.57433601881
Philippines,PHL,4.13510874396911,3460.53096344408
Poland,POL,7.27781454455338,17999.9099495446
Portugal,PRT,5.19566757700593,24567.5092651
Puerto Rico,PRI,0.758705371085782,32640.710335631
Qatar,QAT,4.31736869552309,66838.357433014
Romania,ROU,5.89921300454141,14858.2294290445
Russian Federation,RUS,5.17723486485373,12194.77734375
Rwanda,RWA,8.28555616299475,822.3479885942
Samoa,WSM,-8.71342366069874,3857.31846401804
San Marino,SMR,..,..
Sao Tome and Principe,STP,-0.161398024542237,2360.54355385897
Saudi Arabia,SAU,3.37507257654349,23185.8707917797
Senegal,SEN,3.29547349613534,1636.89320864296
Serbia,SRB,8.56965235057908,9230.17831602601
Seychelles,SYC,6.99688354424572,14653.3093943039
Sierra Leone,SLE,1.79687952384096,480.039211301066
Singapore,SGP,12.1967208124475,72794.0030226738
Sint Maarten (Dutch part),SXM,..,..
Slovak Republic,SVK,3.23329524846454,21391.9253336042
Slovenia,SVN,7.92052575032362,29291.4006234431
Solomon Islands,SLB,-2.5512864926005,2304.84456746354
Somalia,SOM,0.826441533233918,446.981559635259
South Africa,ZAF,3.87031528659543,7055.04477598783
South Sudan,SSD,..,..
Spain,ESP,5.40811294229356,30103.513733191
Sri Lanka,LKA,2.22149016621572,4013.68765683604
St. Kitts and Nevis,KNA,-0.804667100245922,18082.6101907478
St. Lucia,LCA,11.9712320747604,9414.22623085983
St. Martin (French part),MAF,..,..
St. Vincent and the Grenadines,VCT,1.64354578441468,8666.38704104884
Sudan,SDN,-4.4836196256332,751.821350097656
Suriname,SUR,-3.66902298305844,4869.13422621242
Sweden,SWE,4.4459039579281,61028.7380600287
Switzerland,CHE,3.44050320705828,91991.6004583563
Syrian Arab Republic,SYR,..,..
Tajikistan,TJK,6.88340319827839,897.047510293411
Tanzania,TZA,1.19525931512999,1099.28759765625
Thailand,THA,1.35595700059554,7066.19054595323
Timor-Leste,TLS,3.62176994786087,2741.39393111832
Togo,TGO,2.79798403178665,973.206129076133
Tonga,TON,-3.36800414054153,4426.00063706281
Trinidad and Tobago,TTO,-1.5141213149118,16032.5027680992
Tunisia,TUN,3.46165665574105,3807.13915027254
Turkiye,TUR,10.5128803584355,9661.23597511355
Turkmenistan,TKM,..,..
Turks and Caicos Islands,TCA,0.203473359233726,20908.5827016004
Tuvalu,TUV,1.74417985047984,5632.00299343641
Uganda,UGA,0.264400771937062,883.892032311279
Ukraine,UKR,4.31845848058143,4835.57177734375
United Arab Emirates,ARE,3.05240052428728,44315.5541834116
United Kingdom,GBR,7.13272070609476,46510.2827819127
United States,USA,5.82014017609322,70248.6290002242
Uruguay,URY,4.45309185785898,17313.1883484186
Uzbekistan,UZB,5.31863247697721,1983.06472288992
Vanuatu,VUT,-1.89628120170225,2996.62106154483
"Venezuela, RB",VEN,..,..
Vietnam,VNM,1.69938954511899,3756.48912117326
Virgin Islands (U.S.),VIR,..,..
West Bank and Gaza,PSE,4.45223033461897,3663.96905468875
"Yemen, Rep.",YEM,..,..
Zambia,ZMB,1.66909662660257,1137.34363269164
Zimbabwe,ZWE,6.27161321467831,1773.92041088078
Africa Eastern and Southern,AFE,1.74935984690359,1549.77272965144
Africa Western and Central,AFW,1.3570979047671,1757.03062622138
Arab World,ARB,2.01453048932274,6271.31900080308
Caribbean small states,CSS,4.82640801246541,10063.6912979586
Central Europe and the Baltics,CEB,6.93139784311086,18751.026511843
Early-demographic dividend,EAR,5.66144359507157,3703.90012266414
East Asia & Pacific,EAS,5.52811497387475,13041.7811855841
East Asia & Pacific (excluding high income),EAP,6.89697607883662,9771.6482057467
East Asia & Pacific (IDA & IBRD countries),TEA,6.89802671087487,9880.09606977467
Euro area,EMU,5.27765515647974,42450.1537720293
Europe & Central Asia,ECS,5.78023953379298,27152.4712288326
Europe & Central Asia (excluding high income),ECA,6.86474887041364,8758.93855271138
Europe & Central Asia (IDA & IBRD countries),TEC,6.9389965673867,9842.05226527455
European Union,EUU,5.50859307509765,38411.062779601
Fragile and conflict affected situations,FCS,0.0350687279477455,1796.39629429673
Heavily indebted poor countries (HIPC),HPC,1.08272687652891,1035.70164847096
High income,HIC,5.25904087277948,48225.2412096793
IBRD only,IBD,6.57002649957738,7235.96126958022
IDA & IBRD total,IBT,5.86449436865149,5684.92707423063
IDA blend,IDB,2.88491812157996,1842.77104941479
IDA only,IDX,0.794824634459928,1281.63432040352
IDA total,IDA,1.732139049664,1465.39607429896
Late-demographic dividend,LTE,6.91015142864684,11465.857770559
Latin America & Caribbean,LCN,5.82490326145148,8327.60519038265
Latin America & Caribbean (excluding high income),LAC,5.54334590336056,7728.03330913836
Latin America & the Caribbean (IDA & IBRD countries),TLA,6.00012818410988,8108.91586994813
Least developed countries: UN classification,LDC,-0.375433180716499,1164.91831596213
Low & middle income,LMY,5.79004241389782,5494.39698101105
Low income,LIC,-0.158268863715207,793.945722043348
Lower middle income,LMC,4.3121850149173,2572.70514396668
Middle East & North Africa,MEA,3.2023780583242,7569.08943696131
Middle East & North Africa (excluding high income),MNA,3.13182995651925,3573.16517336392
Middle East & North Africa (IDA & IBRD countries),TMN,3.12170132976581,3572.06552524474
Middle income,MIC,6.06838698516884,6074.0849211156
North America,NAC,5.66579040223591,68369.6627865258
Not classified,INX,..,..
OECD members,OED,5.19352681333145,42446.8593225577
Other small states,OSS,2.80272372465508,13878.8148434096
Pacific island small states,PSS,-4.97653112279065,3643.84543691992
Post-demographic dividend,PST,5.18009037254058,49223.5950344334
Pre-demographic dividend,PRE,0.436819700999621,1418.59332595843
Small states,SST,2.9476315843403,12588.9277948417
South Asia,SAS,6.86423343596698,2149.8215950035
South Asia (IDA & IBRD),TSA,6.86423343596697,2149.8215950035
Sub-Saharan Africa,SSF,1.56709840462506,1633.18075389896
Sub-Saharan Africa (excluding high income),SSA,1.56390575844445,1632.08753131287
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.56709840462506,1633.18075389896
Upper middle income,UMC,7.06526315940772,10828.0506944074
World,WLD,4.96925208129599,12236.6157434985
,,,
,,,
,,,
Data from database: World Development Indicators,,,
Last Updated: 05/10/2023,,,
